START DATE,END DATE,SUBJECT,LOCATION,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),Away,Home,Subject2,Away,Home,DESCRIPTION,SHOW TIME AS,CATEGORIES
4/8/2012,4/8/2012,MLB: San Francisco Giants @ Arizona Diamondbacks,"Chase Field - Phoenix, AZ",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Giants,D-backs,Giants @ D-backs,San Francisco Giants,Arizona Diamondbacks,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Toronto Blue Jays @ Cleveland Indians,"Progressive Field - Cleveland, OH",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Blue Jays,Indians,Blue Jays @ Indians,Toronto Blue Jays,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Atlanta Braves @ New York Mets,"Citi Field - Flushing, NY",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Braves,Mets,Braves @ Mets,Atlanta Braves,New York Mets,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Minnesota Twins @ Baltimore Orioles,"Camden Yards - Baltimore, MD",10:35 AM,11:35 AM,12:35 PM,1:35 PM,1:35 PM,2:35 PM,3:35 PM,4:35 PM,Twins,Orioles,Twins @ Orioles,Minnesota Twins,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Los Angeles Dodgers @ San Diego Padres,"Petco Park - San Diego, CA",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Dodgers,Padres,Dodgers @ Padres,Los Angeles Dodgers,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Philadelphia Phillies @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",10:35 AM,11:35 AM,12:35 PM,1:35 PM,1:35 PM,2:35 PM,3:35 PM,4:35 PM,Phillies,Pirates,Phillies @ Pirates,Philadelphia Phillies,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Chicago White Sox @ Texas Rangers,"Rangers Ballpark - Arlington, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,White Sox,Rangers,White Sox @ Rangers,Chicago White Sox,Texas Rangers,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: New York Yankees @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",10:40 AM,11:40 AM,12:40 PM,1:40 PM,1:40 PM,2:40 PM,3:40 PM,4:40 PM,Yankees,Rays,Yankees @ Rays,New York Yankees,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Miami Marlins @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Marlins,Reds,Marlins @ Reds,Miami Marlins,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Boston Red Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Red Sox,Tigers,Red Sox @ Tigers,Boston Red Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Atlanta Braves @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Braves,Astros,Braves @ Astros,Atlanta Braves,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Kansas City Royals @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Royals,Athletics,Royals @ Athletics,Kansas City Royals,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Boston Red Sox @ Toronto Blue Jays,"Rogers Centre - Toronto, ON",4:07 PM,5:07 PM,6:07 PM,7:07 PM,7:07 PM,8:07 PM,9:07 PM,10:07 PM,Red Sox,Blue Jays,Red Sox @ Blue Jays,Boston Red Sox,Toronto Blue Jays,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Milwaukee Brewers @ Chicago Cubs,"Wrigley Field - Chicago, IL",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Brewers,Cubs,Brewers @ Cubs,Milwaukee Brewers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Chicago White Sox @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,White Sox,Indians,White Sox @ Indians,Chicago White Sox,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Washington Nationals @ New York Mets,"Citi Field - Flushing, NY",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Nationals,Mets,Nationals @ Mets,Washington Nationals,New York Mets,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: New York Yankees @ Baltimore Orioles,"Camden Yards - Baltimore, MD",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Yankees,Orioles,Yankees @ Orioles,New York Yankees,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Miami Marlins @ Philadelphia Phillies,"Citizens Bank Park - Philadelphia, PA",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Marlins,Phillies,Marlins @ Phillies,Miami Marlins,Philadelphia Phillies,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Seattle Mariners @ Texas Rangers,"Rangers Ballpark - Arlington, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Mariners,Rangers,Mariners @ Rangers,Seattle Mariners,Texas Rangers,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: St. Louis Cardinals @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Cardinals,Reds,Cardinals @ Reds,St. Louis Cardinals,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: San Francisco Giants @ Colorado Rockies,"Coors Field - Denver, CO",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Giants,Rockies,Giants @ Rockies,San Francisco Giants,Colorado Rockies,www.MySportsCal.com,FREE,MLB2012
4/9/2012,4/9/2012,MLB: Los Angeles Angels @ Minnesota Twins,"Target Field - Minneapolis, MN",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Angels,Twins,Angels @ Twins,Los Angeles Angels,Minnesota Twins,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Atlanta Braves @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Braves,Astros,Braves @ Astros,Atlanta Braves,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Kansas City Royals @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Royals,Athletics,Royals @ Athletics,Kansas City Royals,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Boston Red Sox @ Toronto Blue Jays,"Rogers Centre - Toronto, ON",4:07 PM,5:07 PM,6:07 PM,7:07 PM,7:07 PM,8:07 PM,9:07 PM,10:07 PM,Red Sox,Blue Jays,Red Sox @ Blue Jays,Boston Red Sox,Toronto Blue Jays,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Milwaukee Brewers @ Chicago Cubs,"Wrigley Field - Chicago, IL",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Brewers,Cubs,Brewers @ Cubs,Milwaukee Brewers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Pittsburgh Pirates @ Los Angeles Dodgers,"Dodger Stadium - Los Angeles, CA",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Pirates,Dodgers,Pirates @ Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Chicago White Sox @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,White Sox,Indians,White Sox @ Indians,Chicago White Sox,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Washington Nationals @ New York Mets,"Citi Field - Flushing, NY",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Nationals,Mets,Nationals @ Mets,Washington Nationals,New York Mets,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: New York Yankees @ Baltimore Orioles,"Camden Yards - Baltimore, MD",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Yankees,Orioles,Yankees @ Orioles,New York Yankees,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Arizona Diamondbacks @ San Diego Padres,"Petco Park - San Diego, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,D-backs,Padres,D-backs @ Padres,Arizona Diamondbacks,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Seattle Mariners @ Texas Rangers,"Rangers Ballpark - Arlington, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Mariners,Rangers,Mariners @ Rangers,Seattle Mariners,Texas Rangers,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: St. Louis Cardinals @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Cardinals,Reds,Cardinals @ Reds,St. Louis Cardinals,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
4/10/2012,4/10/2012,MLB: Tampa Bay Rays @ Detroit Tigers,"Comerica Park - Detroit, MI",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Rays,Tigers,Rays @ Tigers,Tampa Bay Rays,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Atlanta Braves @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Braves,Astros,Braves @ Astros,Atlanta Braves,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Kansas City Royals @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",12:35 PM,1:35 PM,2:35 PM,3:35 PM,3:35 PM,4:35 PM,5:35 PM,6:35 PM,Royals,Athletics,Royals @ Athletics,Kansas City Royals,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Boston Red Sox @ Toronto Blue Jays,"Rogers Centre - Toronto, ON",9:37 AM,10:37 AM,11:37 AM,12:37 PM,12:37 PM,1:37 PM,2:37 PM,3:37 PM,Red Sox,Blue Jays,Red Sox @ Blue Jays,Boston Red Sox,Toronto Blue Jays,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Milwaukee Brewers @ Chicago Cubs,"Wrigley Field - Chicago, IL",11:20 AM,12:20 PM,1:20 PM,2:20 PM,2:20 PM,3:20 PM,4:20 PM,5:20 PM,Brewers,Cubs,Brewers @ Cubs,Milwaukee Brewers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Pittsburgh Pirates @ Los Angeles Dodgers,"Dodger Stadium - Los Angeles, CA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Pirates,Dodgers,Pirates @ Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,www.MySportsCal.com,FREE,MLB2012
4/11/2012,4/11/2012,MLB: Chicago White Sox @ Cleveland Indians,"Progressive Field - Cleveland, OH",9:05 AM,10:05 AM,11:05 AM,12:05 PM,12:05 PM,1:05 PM,2:05 PM,3:05 PM,White Sox,Indians,White Sox @ Indians,Chicago White Sox,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
